,,,,,,,,,,,,,,,,artichaut,artichaut,artichaut,artichaut
,,,,,,,,,,,,.,.,artichaut,artichaut,artichaut,artichaut,artichaut,artichaut
,,,,,,,,.,.,.,.,.,.,artichaut,artichaut,artichaut,artichaut,artichaut,artichaut
,,,,.,.,.,.,.,.,.,.,-,-,-,-,-,-,.,.
menthe,menthe,menthe,vigne,.,.,.,.,-,-,-,-,.,-,.,.,.,-,.,.
menthe,menthe,menthe,.,-,-,-,-,.,-,.,.,.,-,.,.,.,-,.,.
menthe,lavande,-,-,.,-,.,.,.,-,.,.,.,-,.,.,.,-,x,x
,,,.,.,-,.,.,.,-,.,.,.,-,.,.,.,-,x,x
,,,.,.,-,.,.,.,-,.,.,.,-,.,.,.,-,x,x
,,,.,.,-,.,.,.,-,.,.,.,-,.,.,.,-,x,x
,,,.,.,-,.,.,.,-,.,.,.,-,.,.,.,-,x,x
,.,.,.,.,-,.,.,.,-,.,.,.,-,.,.,.,-,x,x
,.,.,.,.,-,.,.,.,-,.,.,.,-,.,.,.,-,x,x
,.,.,.,.,-,.,.,.,-,.,.,.,-,.,.,.,-,x,x
,.,.,.,.,-,.,,,-,.,.,.,-,.,.,.,-,x,x
,.,.,.,.,-,.,,,-,.,.,.,-,.,.,.,-,.,.
,.,.,.,.,-,.,,,-,.,.,.,-,.,.,.,-,.,.
,.,.,.,.,-,.,,,-,.,.,.,-,.,.,.,-,.,.
,.,.,.,.,-,.,,,-,.,.,.,-,.,.,.,-,.,.
,.,.,,,,,,,-,.,.,.,-,.,.,.,-,.,.
,,,,,,,,,-,.,.,.,-,.,.,.,-,lavande,lavande
,,,,,,,,,-,.,.,.,-,.,.,.,-,lavande,lavande
,,,,,,,,,-,.,.,.,-,.,.,.,-,sauge,sauge
,,,,,,,,,,,,,,,,,-,sauge,sauge
,,,,,,,,,,,,,,,,,-,sauge,sauge
