name,count
agretti,2
ail,0
aneth,2
arroche,2
artichaut,0
asperge,0
aubergine,0
basilic,2
bette,3
betterave,3
capucine,0
cardon,12
carotte,6
celeri,3
cerfeuil,0
chicoree,3
chou rave,0
chou rouge,0
chou,6
ciboulette,0
concombre,9
coriandre,2
cornichon,0
courgette,16
cresson,0
cucurbita,0
echalote,0
epinard,0
fenouil,3
feve,0
fraisier,0
haricot,19
laitue,12
lavande,0
mais,6
melon,0
menthe,0
navet,6
oeillet d'inde,2
oignon blanc,3
oignon,12
panais,6
patisson,5
persil,3
poireau,12
pois,12
poivron,0
pomme de terre,0
radis,6
roquette,2
sarriette,2
sauge,0
scorsonere,3
souci,2
tomate,19
tournesol,2
tetragone,3
vigne,0
